,ids1,ids2,images1,images2,result,tiers,votes1,votes2
101,2204,2320,https://img.animebracket.com/1p8.jpg,https://img.animebracket.com/1sg.jpg,0,1,1346,1572
102,1891,1997,https://img.animebracket.com/1gj.jpg,https://img.animebracket.com/1jh.jpg,1,1,2381,652
103,2232,1843,https://img.animebracket.com/1q0.jpg,https://img.animebracket.com/1f7.jpg,1,1,1661,996
104,2032,2403,https://img.animebracket.com/1kg.jpg,https://img.animebracket.com/1ur.jpg,1,1,2615,589
105,2071,2138,https://img.animebracket.com/1lj.jpg,https://img.animebracket.com/1ne.jpg,0,1,1150,1470
106,1848,2262,https://img.animebracket.com/1fc.jpg,https://img.animebracket.com/1qu.jpg,1,1,2185,1005
107,2201,2241,https://img.animebracket.com/1p5.jpg,https://img.animebracket.com/1q9.jpg,1,1,1340,1255
108,1953,1864,https://img.animebracket.com/1i9.jpg,https://img.animebracket.com/1fs.jpg,1,1,2470,707
109,2254,1771,https://img.animebracket.com/1qm.jpg,https://img.animebracket.com/1d7.jpg,1,1,1326,1216
110,1821,2271,https://img.animebracket.com/1el.jpg,https://img.animebracket.com/1r3.jpg,1,1,2123,710
111,1792,2208,https://img.animebracket.com/1ds.jpg,https://img.animebracket.com/1pc.jpg,1,1,1696,854
112,1809,2175,https://img.animebracket.com/1e9.jpg,https://img.animebracket.com/1of.jpg,1,1,2958,229
113,1901,2179,https://img.animebracket.com/1gt.jpg,https://img.animebracket.com/1oj.jpg,1,1,1622,1145
114,1937,2076,https://img.animebracket.com/1ht.jpg,https://img.animebracket.com/1lo.jpg,1,1,1809,956
115,2093,1775,https://img.animebracket.com/1m5.jpg,https://img.animebracket.com/1db.jpg,1,1,1588,1033
116,2084,2236,https://img.animebracket.com/1lw.jpg,https://img.animebracket.com/1q4.jpg,1,1,2191,732
117,2009,2316,https://img.animebracket.com/1jt.jpg,https://img.animebracket.com/1sc.jpg,1,1,1681,988
118,1845,2085,https://img.animebracket.com/1f9.jpg,https://img.animebracket.com/1lx.jpg,1,1,2154,619
119,2200,2046,https://img.animebracket.com/1p4.jpg,https://img.animebracket.com/1ku.jpg,1,1,1720,803
120,1935,2340,https://img.animebracket.com/1hr.jpg,https://img.animebracket.com/1t0.jpg,1,1,2759,469
121,1773,2120,https://img.animebracket.com/1d9.jpg,https://img.animebracket.com/1mw.jpg,1,1,1321,1111
122,2194,2439,https://img.animebracket.com/1oy.jpg,https://img.animebracket.com/1vr.jpg,1,1,1731,1075
123,1941,2438,https://img.animebracket.com/1hx.jpg,https://img.animebracket.com/1vq.jpg,1,1,1603,982
124,1939,1921,https://img.animebracket.com/1hv.jpg,https://img.animebracket.com/1hd.jpg,1,1,2183,623
125,1929,2286,https://img.animebracket.com/1hl.jpg,https://img.animebracket.com/1ri.jpg,1,1,1529,1236
126,2083,2422,https://img.animebracket.com/1lv.jpg,https://img.animebracket.com/1va.jpg,1,1,1972,785
127,1853,2296,https://img.animebracket.com/1fh.jpg,https://img.animebracket.com/1rs.jpg,1,1,2073,569
128,1785,2203,https://img.animebracket.com/1dl.jpg,https://img.animebracket.com/1p7.jpg,1,1,3587,308
129,2353,2027,https://img.animebracket.com/1td.jpg,https://img.animebracket.com/1kb.jpg,0,1,1244,1802
130,1885,2376,https://img.animebracket.com/1gd.jpg,https://img.animebracket.com/1u0.jpg,1,1,2222,866
